"Season","Name","Team","G","PA","BB%","K%","AVG","OBP","SLG","wOBA","xwOBA","wRC+","WAR","playerid"
"1963","Bob Bailey","PIT","154","640","9.1%","15.3%",".228",".303",".328",".288","","86","2.1","1000420"
"1883","Guy Hecker","LOU","81","344","3.5%","",".271",".297",".334",".288","","104","1.3","1005573"
"1968","Willie Davis","LAD","160","686","4.5%","12.8%",".250",".284",".351",".288","","97","2.2","1003088"
"1981","Mickey Hatcher","MIN","99","402","3.7%","7.2%",".255",".285",".350",".287","","77","-0.8","1005488"
"2013","Mike Moustakas","KCR","136","514","6.2%","16.1%",".233",".287",".364",".287","","77","0.4","4892"
"2014","Billy Hamilton","CIN","152","611","5.6%","19.1%",".250",".292",".355",".287","","79","2.7","10199"
"1886","Dave Rowe","KCC","105","444","3.4%","9.7%",".240",".266",".354",".287","","81","-1.1","1011252"
"1992","Tom Pagnozzi","STL","139","523","5.4%","12.2%",".249",".290",".359",".287","","80","1.2","1009960"
"2012","Darwin Barney","CHC","156","588","5.6%","9.9%",".254",".299",".354",".287","","75","1.9","2430"
"1892","Duke Farrell","PIT","152","656","7.0%","8.1%",".215",".276",".314",".287","","82","0.6","1003942"
"1926","Luke Sewell","CLE","126","499","7.2%","5.4%",".238",".302",".293",".287","","56","-0.7","1011767"
"1872","Dick McBride","PHN","47","261","1.1%","0.8%",".287",".295",".318",".287","","90","0.0","1008341"
"1981","Lloyd Moseby","TOR","100","412","5.8%","20.9%",".233",".278",".357",".287","","74","0.4","1009238"
"1928","Hod Ford","CIN","149","571","8.2%","5.4%",".241",".308",".291",".287","","63","2.0","1004221"
"1886","Pop Smith","PIT","126","531","7.9%","",".217",".288",".308",".287","","96","4.0","1012193"
"1964","Leo Cardenas","CIN","163","652","6.3%","16.9%",".251",".299",".357",".287","","77","1.3","1001938"
"1988","Benito Santiago","SDP","139","527","4.6%","15.6%",".248",".282",".362",".287","","85","3.2","1130"
"1976","Hector Cruz","STL","151","577","7.3%","20.6%",".228",".286",".338",".287","","76","-1.0","1002839"
"1970","John Bateman","MON","139","557","5.0%","13.5%",".237",".275",".383",".287","","69","1.6","1000653"
"1950","Nellie Fox","CHW","130","504","6.9%","3.4%",".247",".304",".304",".287","","58","-0.7","1004281"
"1972","Dave Nelson","TEX","145","580","11.6%","14.0%",".226",".324",".283",".287","","87","0.6","1009499"
"1892","Jack O'Connor","CLE","140","599","4.2%","8.0%",".248",".282",".309",".287","","77","0.4","1009713"
"1878","Frank Hankinson","CHI","58","245","2.0%","14.7%",".267",".282",".338",".287","","99","1.2","1005310"
"1945","Roy Schalk","CHW","133","570","5.6%","7.2%",".248",".293",".302",".287","","72","-0.2","1011518"
"2002","Aramis Ramirez","PIT","142","570","5.1%","16.7%",".234",".279",".387",".287","","70","-0.9","1002"
"2001","Tony Womack","ARI","125","518","4.4%","10.4%",".266",".307",".345",".287","","66","1.0","78"
"1994","Brad Ausmus","SDP","101","366","8.2%","17.2%",".251",".314",".358",".287","","69","0.3","546"
"1940","Art Mahan","PHI","146","591","6.8%","6.3%",".244",".297",".318",".287","","69","-1.0","1007982"
"2015","Yadier Molina","STL","136","530","6.0%","11.1%",".270",".310",".350",".287","","81","2.4","7007"
"1971","Sonny Jackson","ATL","149","593","5.9%","7.6%",".258",".302",".324",".287","","71","-2.0","1006313"
"2015","Jace Peterson","ATL","152","597","9.4%","20.1%",".239",".314",".335",".287","","79","1.0","12325"
"1885","Sadie Houck","PHA","93","405","2.5%","",".255",".286",".327",".287","","91","1.6","1006049"
"1992","B.J. Surhoff","MIL","139","543","8.5%","7.6%",".252",".314",".321",".287","","77","1.7","117"
"1908","Mickey Doolan","PHI","129","484","3.5%","",".234",".267",".321",".287","","88","2.0","1003402"
"1975","Ken Reitz","STL","161","627","3.5%","8.6%",".269",".298",".340",".287","","74","-1.1","1010823"
"1885","Jimmy Macullar","BAL","100","373","13.1%","",".191",".306",".278",".287","","95","0.5","1007936"
"1967","Bill Mazeroski","PIT","163","679","4.4%","8.1%",".261",".292",".352",".287","","84","2.4","1008316"
"1983","Bob Boone","CAL","142","509","4.7%","8.3%",".256",".289",".353",".287","","75","1.8","1001183"
"1969","Johnny Edwards","HOU","151","559","9.5%","12.3%",".232",".306",".333",".287","","79","1.9","1003689"
"1928","Heinie Sand","PHI","141","509","11.8%","9.2%",".211",".310",".277",".287","","51","-1.7","1011425"
"1966","Davey Johnson","BAL","131","541","5.7%","11.8%",".257",".298",".351",".287","","86","1.1","1006440"
"2005","Adam Everett","HOU","152","595","4.4%","17.3%",".248",".290",".364",".287","","70","2.2","1430"
"1968","Wes Parker","LAD","135","534","9.2%","16.3%",".239",".312",".314",".287","","97","1.2","1010009"
"1983","Alfredo Griffin","TOR","162","572","4.7%","7.7%",".250",".289",".348",".287","","71","-0.1","1005036"
"1884","Tom Burns","CHI","83","356","3.7%","14.0%",".245",".272",".359",".287","","92","1.1","1001720"
"1875","John McMullin","PWS","54","227","2.2%","5.3%",".257",".273",".360",".287","","110","0.8","1008649"
"1966","Woody Woodward","ATL","144","516","7.2%","10.5%",".264",".323",".327",".287","","79","0.5","1014250"
"1988","Jim Presley","SEA","150","592","6.1%","19.3%",".230",".280",".355",".287","","74","-0.8","1010523"
"1979","Larry Bowa","PHI","147","619","9.9%","5.2%",".241",".316",".313",".287","","71","1.3","1001243"
"1873","Bill Boyd","BKA","50","230","0.9%","0.9%",".276",".283",".346",".287","","96","0.4","1001274"
"1972","Horace Clarke","NYY","147","613","9.1%","7.2%",".241",".315",".302",".287","","90","2.4","1002287"
"1944","Skeeter Newsome","BOS","136","524","6.3%","4.0%",".242",".291",".309",".287","","68","0.6","1009548"
"1989","Alvaro Espinoza","NYY","146","544","2.6%","11.0%",".282",".301",".332",".287","","78","1.2","1003828"
"1921","Walter Holke","BSN","150","621","2.7%","6.6%",".261",".284",".337",".286","","62","-1.6","1005946"
"1888","Bill Phillips","KCC","129","543","5.0%","",".236",".284",".320",".286","","87","0.0","1010281"
"1965","Dick Groat","STL","153","655","8.5%","7.6%",".254",".316",".315",".286","","73","1.8","1005075"
"2010","Erick Aybar","LAA","138","589","5.9%","13.8%",".253",".306",".330",".286","","78","1.2","4082"
"1900","Tommy Corcoran","CIN","127","562","3.9%","",".245",".278",".325",".286","","65","0.3","1002622"
"1876","Andy Leonard","BSN","64","307","1.3%","2.0%",".281",".290",".327",".286","","104","0.8","1007530"
"1922","Ralph Young","PHA","125","538","10.2%","3.9%",".223",".309",".279",".286","","55","-2.0","1014389"
"1972","Mike Andrews","CHW","148","602","11.6%","13.0%",".220",".313",".297",".286","","83","-0.3","1000258"
"1902","Kid Gleason","DET","118","480","5.2%","",".247",".292",".297",".286","","67","-0.7","1004770"
"1930","Freddie Maguire","BSN","146","557","3.6%","3.9%",".267",".297",".328",".286","","54","-1.4","1007976"
"1965","Gene Alley","PIT","153","540","5.9%","15.2%",".252",".302",".348",".286","","81","3.7","1000160"
"1944","Joe Hoover","DET","120","494","7.1%","13.4%",".236",".301",".290",".286","","65","0.2","1006009"
"2007","Julio Lugo","BOS","147","630","7.6%","13.0%",".237",".294",".349",".286","","66","0.4","565"
"1903","George Magoon","- - -","136","541","9.1%","",".224",".306",".273",".286","","79","-0.5","1007972"
"1968","Gene Alley","PIT","133","530","7.4%","14.7%",".245",".307",".321",".286","","91","4.4","1000160"
"2010","Ryan Theriot","- - -","150","640","6.4%","11.6%",".270",".321",".312",".286","","73","-0.5","3811"
"1967","Bud Harrelson","NYM","151","603","8.0%","10.6%",".254",".317",".304",".286","","84","2.1","1005387"
"1978","Butch Wynegar","MIN","135","522","9.0%","8.0%",".229",".307",".308",".286","","74","1.5","1014308"
"1964","Tony Taylor","PHI","154","636","7.2%","11.6%",".251",".320",".316",".286","","83","0.0","1012892"
"2020","Josh Bell","PIT","57","223","9.9%","26.5%",".226",".305",".364",".286","","77","-0.4","13145"
"1965","Rich Rollins","MIN","140","522","7.1%","10.3%",".249",".309",".333",".286","","79","1.7","1011162"
"1906","Bris Lord","PHA","118","492","5.5%","",".233",".281",".302",".286","","80","-0.1","1007759"
"1966","Cookie Rojas","PHI","156","679","5.2%","6.8%",".268",".310",".329",".286","","81","0.0","1011152"
"1898","Tommy Dowd","STL","139","635","4.7%","",".244",".287",".297",".286","","69","-2.0","1003443"
"1915","Bert Niehoff","PHI","148","580","5.2%","10.9%",".238",".280",".308",".286","","74","0.4","1009581"
"1874","Jack Burdock","NYM","61","274","0.4%","1.8%",".275",".277",".355",".286","","102","1.5","1001664"
"1942","Sibby Sisti","BSN","129","469","9.6%","11.7%",".211",".296",".287",".286","","75","0.4","1012022"
"1885","Fred Corey","PHA","94","404","4.2%","",".245",".282",".331",".286","","91","1.2","1002625"
"1883","Chick Fulmer","CIN","92","374","3.2%","",".254",".278",".359",".286","","102","2.2","1004400"
"1979","Frank Taveras","- - -","164","725","4.6%","10.2%",".262",".298",".335",".286","","75","0.3","1012852"
"1920","George Cutshaw","PIT","131","549","4.2%","1.8%",".252",".287",".318",".286","","69","0.9","1002913"
"1874","Count Gedney","PHN","54","229","3.1%","4.8%",".275",".297",".315",".286","","94","0.5","1004593"
"1884","Marr Phillips","IND","97","419","1.2%","",".269",".279",".351",".286","","101","2.5","1010295"
"1963","Tito Francona","CLE","142","553","8.5%","13.9%",".228",".296",".346",".286","","80","-1.0","1004293"
"1886","Germany Smith","BRO","105","445","4.3%","",".246",".279",".329",".286","","89","2.1","1012143"
"1950","Buddy Kerr","BSN","155","571","8.8%","8.8%",".227",".296",".310",".286","","63","0.2","1006870"
"1882","Silver Flint","CHI","81","333","0.6%","15.0%",".251",".255",".390",".286","","98","1.8","1004162"
"2017","Albert Pujols","LAA","149","636","5.8%","14.6%",".241",".286",".386",".286","","77","-2.0","1177"
"1961","Nellie Fox","CHW","159","696","8.5%","1.7%",".251",".323",".295",".286","","72","0.4","1004281"
"1968","Dal Maxvill","STL","151","516","10.1%","13.8%",".253",".329",".298",".286","","90","2.3","1008285"
"1976","Del Unser","- - -","146","543","5.3%","15.5%",".228",".269",".355",".286","","76","-0.5","1013286"
"1990","Steve Finley","BAL","142","513","6.2%","10.3%",".256",".304",".328",".286","","78","0.1","54"
"1997","Gerald Williams","MIL","155","601","3.2%","15.0%",".253",".282",".369",".286","","64","0.4","1395"
"1955","Willy Miranda","BAL","153","536","7.8%","10.8%",".255",".313",".310",".286","","74","1.1","1008991"
"1914","Bill Sweeney","CHC","134","540","9.8%","2.8%",".218",".298",".276",".286","","74","1.3","1012771"
"1915","Rollie Zeider","CWH","129","558","7.7%","4.3%",".227",".297",".279",".286","","78","0.6","1014428"
"1973","Don Kessinger","CHC","160","643","8.9%","6.8%",".262",".327",".310",".286","","67","0.5","1006877"
"1907","Bill Coughlin","DET","134","585","6.0%","",".243",".301",".270",".286","","81","0.4","1002668"
"1976","Duane Kuiper","CLE","135","555","5.4%","7.6%",".263",".303",".312",".286","","81","0.5","1007207"
"1973","Roger Metzger","HOU","154","637","6.1%","11.0%",".250",".299",".322",".286","","76","0.8","1008812"
"1908","Eddie Grant","PHI","147","650","5.4%","",".244",".289",".293",".286","","87","1.9","1004946"
"1988","Dick Schofield","CAL","155","589","6.8%","9.7%",".239",".303",".317",".286","","79","2.4","1011602"
"1993","Omar Vizquel","SEA","158","630","7.9%","11.3%",".255",".319",".298",".286","","69","1.7","411"
"1979","Rodney Scott","MON","151","645","10.2%","12.7%",".238",".319",".294",".286","","75","0.8","1011693"
"1871","Bob Addy","ROC","25","122","3.3%","0.0%",".271",".295",".322",".286","","90","0.2","1000070"
"1873","John Radcliff","BAL","45","248","1.2%","0.8%",".286",".294",".314",".286","","87","0.7","1010633"
"2021","Michael A. Taylor","KCR","142","528","6.3%","27.3%",".244",".297",".356",".286","","77","1.9","11489"
"1914","Everett Scott","BOS","144","600","5.3%","7.2%",".239",".286",".301",".286","","76","1.9","1011679"
"1990","Devon White","CAL","125","503","8.7%","23.1%",".217",".290",".343",".286","","77","0.8","1013862"
"1976","Ken Reitz","SFG","155","614","3.9%","7.8%",".267",".293",".333",".286","","74","0.5","1010823"
"1918","Ivy Olson","BRO","126","553","4.9%","3.3%",".239",".286",".292",".285","","74","0.2","1009793"
"1872","Tom York","BAL","51","252","1.6%","0.4%",".266",".278",".351",".285","","92","1.6","1014355"
"2012","Jeff Francoeur","KCR","148","603","5.6%","19.7%",".235",".287",".378",".285","","76","-1.1","4792"
"2011","Vernon Wells","LAA","131","529","3.8%","16.3%",".218",".248",".412",".285","","80","0.4","1326"
"1914","Joe Kelly","PIT","141","570","6.8%","10.4%",".222",".283",".301",".285","","76","-0.2","1006804"
"1974","Roger Metzger","HOU","143","633","5.8%","11.5%",".253",".297",".320",".285","","77","0.7","1008812"
"1915","Hy Myers","BRO","153","645","2.6%","7.9%",".248",".275",".316",".285","","74","-0.7","1009423"
"1963","Johnny Roseboro","LAD","135","518","6.9%","9.7%",".236",".291",".351",".285","","91","2.1","1011199"
"1892","Tommy Dowd","WAS","144","619","5.5%","7.9%",".243",".286",".298",".285","","78","0.0","1003443"
"1972","Aurelio Rodriguez","DET","153","639","4.4%","16.3%",".236",".272",".356",".285","","82","2.1","1011100"
"1884","John Ward","NYG","113","510","5.5%","9.2%",".253",".294",".322",".285","","98","1.9","1013615"
"1922","Ernie Johnson","CHW","144","673","5.9%","4.5%",".254",".304",".292",".285","","57","-0.8","1006453"
"1967","Bert Campaneris","KCA","147","649","5.5%","12.6%",".248",".297",".331",".285","","84","1.6","1001868"
"1994","Chuck Carr","FLA","106","468","4.7%","15.2%",".263",".305",".330",".285","","67","0.6","1001986"
"1874","Everett Mills","HAR","53","247","1.6%","0.8%",".284",".296",".317",".285","","94","0.3","1008956"
"1962","Jim Piersall","WAS","135","515","7.6%","10.3%",".244",".301",".329",".285","","70","-0.4","1010340"
"1895","Bones Ely","STL","117","499","3.8%","3.4%",".259",".288",".308",".285","","56","-0.7","1003761"
"1993","Darren Lewis","SFG","136","572","5.2%","7.0%",".253",".302",".324",".285","","74","1.3","286"
"1872","Joe Doyle","WSN","9","41","0.0%","0.0%",".293",".293",".317",".285","","82","-0.5","1003465"
"1892","Shorty Fuller","NYG","141","560","9.3%","4.3%",".226",".298",".270",".285","","81","1.6","1004397"
"2011","Gordon Beckham","CHW","150","557","6.3%","19.9%",".230",".296",".337",".285","","72","0.8","9015"
"1936","Rabbit Warstler","- - -","140","620","9.4%","7.9%",".228",".306",".281",".285","","59","0.7","1013643"
"1882","John Reccius","LOU","74","289","8.0%","",".237",".298",".316",".285","","110","1.3","1010746"
"1985","Tony Pena","PIT","147","587","4.9%","11.4%",".249",".284",".361",".285","","77","2.5","1010153"
"2002","Jack Wilson","PIT","147","586","6.3%","12.6%",".252",".306",".332",".285","","69","0.4","1017"
"1908","Heinie Wagner","BOS","153","577","4.7%","",".247",".288",".293",".285","","87","3.2","1013483"
"1988","Keith Moreland","SDP","143","562","7.1%","9.1%",".256",".305",".331",".285","","83","-0.7","1009161"
"1877","Davy Force","STL","58","236","4.7%","6.4%",".262",".297",".311",".285","","103","1.8","1004213"
"1885","Fred Pfeffer","CHI","112","495","5.3%","9.5%",".241",".281",".328",".285","","90","2.4","1010263"
"1978","Ken Reitz","STL","150","578","4.0%","10.6%",".246",".280",".357",".285","","74","1.5","1010823"
"1888","Frank Fennelly","- - -","135","568","12.7%","",".200",".303",".275",".285","","91","3.3","1003980"
"1884","Jim Field","COL","105","452","5.1%","",".233",".292",".317",".285","","106","2.4","1004028"
"1996","Mike Bordick","OAK","155","587","8.9%","10.1%",".240",".307",".318",".285","","65","-0.3","129"
"1957","Joe DeMaestri","KCA","135","492","4.5%","16.7%",".245",".280",".360",".285","","69","1.1","1003186"
"2001","Doug Glanville","PHI","153","674","2.8%","13.5%",".262",".285",".375",".285","","69","2.0","956"
"1926","Tommy Thevenow","STL","156","608","4.4%","4.3%",".256",".291",".311",".285","","57","2.5","1012952"
"1917","Roy Grover","PHA","141","571","7.5%","9.3%",".224",".292",".284",".285","","74","-0.6","1005101"
"1929","Freddie Maguire","BSN","138","544","3.5%","7.4%",".252",".284",".337",".285","","53","-1.7","1007976"
"1889","Dick Johnston","BSN","132","582","7.0%","10.3%",".228",".285",".301",".285","","65","-1.1","1006445"
"1999","Darren Lewis","BOS","135","538","8.4%","9.7%",".240",".311",".309",".285","","60","1.3","286"
"1879","Joe Hornung","BUF","78","321","0.6%","8.4%",".266",".271",".367",".285","","103","0.7","1006031"
"1886","Charlie Bastian","PHI","105","406","8.1%","18.0%",".217",".281",".316",".285","","89","2.8","1000649"
"1902","Frank Isbell","CHW","137","555","2.5%","",".252",".276",".318",".285","","71","0.6","1006283"
"1892","Lou Bierbauer","PIT","152","674","3.7%","4.3%",".236",".264",".331",".285","","80","2.8","1000953"
"1880","Pete Gillespie","TRO","82","363","4.7%","9.6%",".243",".278",".347",".285","","105","1.6","1004715"
"1955","Jim Busby","- - -","146","578","6.6%","10.2%",".239",".289",".337",".285","","68","-0.1","1001742"
"1968","Curt Blefary","BAL","137","535","12.1%","12.3%",".200",".301",".322",".285","","90","0.3","1001068"
"1943","Irv Hall","PHA","151","582","3.8%","7.2%",".256",".292",".298",".285","","70","-0.6","1005251"
"1873","Dickey Pearce","BKA","55","270","3.0%","0.7%",".275",".296",".305",".285","","95","1.6","1010100"
"1984","Dave Concepcion","CIN","154","600","8.7%","12.0%",".245",".307",".320",".284","","73","-0.9","1002494"
"1888","Hick Carpenter","CIN","136","561","0.9%","",".267",".280",".327",".284","","91","2.6","1001979"
"1933","Billy Urbanski","BSN","144","618","5.3%","7.8%",".251",".298",".302",".284","","77","2.1","1013296"
"1991","Jose Lind","PIT","150","545","5.5%","10.3%",".265",".306",".339",".284","","79","1.2","1007623"
"1889","Art Whitney","NYG","129","531","10.5%","7.3%",".218",".303",".258",".284","","71","0.6","1013906"
"1884","Jimmy Macullar","BAL","107","404","8.9%","",".203",".290",".314",".284","","101","2.3","1007936"
"1887","Jack McGeachy","IND","99","411","1.2%","3.9%",".269",".280",".333",".284","","73","-0.3","1008505"
"1978","Dave Chalk","CAL","135","527","7.2%","6.5%",".253",".318",".285",".284","","79","0.4","1002114"
"1880","Bill Phillips","CLE","85","340","1.8%","8.5%",".254",".268",".365",".284","","112","1.9","1010281"
"1901","Barry McCormick","CHI","115","463","6.7%","",".234",".288",".304",".284","","77","1.1","1008410"
"2016","Freddy Galvis","PHI","158","624","4.0%","21.8%",".241",".274",".399",".284","","74","2.3","6609"
"1968","Tom Tresh","NYY","152","590","12.9%","16.4%",".195",".304",".308",".284","","93","2.0","1013179"
"1906","Monte Cross","PHA","134","525","9.5%","",".200",".291",".272",".284","","79","1.8","1002810"
"1871","Denny Mack","ROC","25","130","6.2%","5.4%",".246",".292",".320",".284","","89","0.5","1007915"
"1879","Mike Dorgan","SYR","59","274","1.5%","4.7%",".267",".277",".356",".284","","109","0.8","1003410"
"2012","Yunel Escobar","TOR","145","608","5.8%","11.5%",".253",".300",".344",".284","","73","1.3","4191"
"1994","Jose Vizcaino","NYM","103","456","7.2%","13.6%",".256",".310",".324",".284","","69","-1.2","577"
"2003","Tony Batista","BAL","161","670","4.2%","15.2%",".235",".270",".393",".284","","71","-0.2","124"
"1906","Pete O'Brien","SLB","151","586","7.2%","",".233",".293",".277",".284","","84","0.6","1009699"
"1940","Don Heffner","SLB","126","530","7.4%","7.0%",".236",".295",".310",".284","","55","-0.6","1005579"
"1907","Billy Maloney","BRO","144","568","5.5%","",".229",".287",".283",".284","","83","0.9","1008034"
"1972","Tommy Helms","HOU","139","559","4.3%","4.8%",".259",".291",".346",".284","","79","0.6","1005616"
"1968","Bobby Knoop","CAL","152","536","6.5%","23.9%",".249",".301",".324",".284","","91","2.8","1007049"
"2001","Michael Barrett","MON","132","506","4.9%","10.7%",".250",".289",".367",".284","","63","-1.2","762"
"1957","Chico Fernandez","PHI","149","543","5.7%","11.8%",".262",".302",".336",".284","","70","0.2","1003994"
"1980","Rick Manning","CLE","140","555","11.4%","11.9%",".234",".321",".306",".284","","71","-0.4","1008068"
"1966","Bill Freehan","DET","136","544","7.4%","13.2%",".234",".294",".352",".284","","82","1.5","1004315"
"1969","Don Money","PHI","127","503","8.5%","16.5%",".229",".296",".327",".284","","75","1.8","1009052"
"1884","Ecky Stearns","BAL","100","430","6.5%","",".237",".298",".306",".284","","100","1.6","1012445"
"1972","Paul Blair","BAL","142","514","4.9%","15.2%",".233",".267",".358",".284","","86","2.2","1001031"
"1920","Ray Powell","BSN","147","666","6.6%","12.5%",".225",".282",".314",".284","","72","-0.4","1010495"
"1883","Bill Phillips","CLE","97","390","2.1%","12.6%",".246",".262",".380",".284","","95","0.8","1010281"
"1971","Sandy Alomar","CAL","162","739","5.5%","8.1%",".260",".301",".321",".284","","81","3.7","1000176"
"1905","Ben Koehler","SLB","142","585","5.5%","",".237",".285",".297",".284","","89","1.0","1007073"
"1873","Harry Wright","BSN","58","276","3.6%","1.1%",".252",".279",".342",".284","","86","-0.2","1014281"
"1880","Arthur Irwin","WOR","85","363","3.0%","7.4%",".259",".281",".344",".284","","101","3.4","1006276"
"1876","Jack Manning","BSN","70","295","2.4%","1.7%",".264",".281",".330",".284","","103","0.9","1008065"
"2018","Yangervis Solarte","TOR","122","506","6.1%","14.2%",".226",".277",".378",".284","","77","-1.3","5352"
"1947","Jerry Priddy","WAS","147","576","10.8%","13.7%",".214",".301",".283",".284","","67","-0.6","1010533"
"1968","Max Alvis","CLE","131","503","8.2%","18.1%",".223",".292",".327",".284","","86","1.0","1000201"
"1882","John Peters","PIT","78","337","1.2%","",".288",".297",".324",".284","","108","2.9","1010232"
"1983","U L Washington","KCR","144","604","7.9%","12.9%",".236",".298",".320",".284","","73","0.7","1013659"
"1914","Frank Delahanty","- - -","120","485","7.0%","6.2%",".215",".277",".305",".284","","66","-0.7","1003156"
"1965","Bob Aspromonte","HOU","152","628","6.1%","8.6%",".263",".310",".322",".284","","81","0.4","1000341"
"1962","Bill Virdon","PIT","156","705","5.1%","9.2%",".247",".286",".345",".284","","70","-0.5","1013437"
"1908","Tommy Sheehan","BRO","146","553","9.6%","",".214",".302",".261",".284","","89","1.4","1011847"
"1884","Pete Gillespie","NYG","101","432","4.4%","8.1%",".264",".296",".315",".284","","97","0.7","1004715"
"1972","Don Money","PHI","152","590","6.9%","15.6%",".222",".278",".343",".284","","74","1.5","1009052"
"1879","Ross Barnes","CIN","77","339","4.7%","7.4%",".266",".301",".316",".284","","109","1.6","1000573"
"1991","Alvin Davis","SEA","145","528","10.6%","14.8%",".221",".299",".335",".283","","72","-1.6","1003033"
"1882","Tom Burns","CHI","84","370","4.1%","7.6%",".248",".278",".346",".283","","97","1.5","1001720"
"2015","Freddy Galvis","PHI","151","603","5.0%","17.1%",".263",".302",".343",".283","","76","1.6","6609"
"1873","Ned Cuthbert","PWS","51","280","0.7%","1.4%",".277",".282",".338",".283","","86","0.2","1002912"
"1884","Bill Kuehne","COL","110","425","2.1%","",".236",".254",".381",".283","","105","3.4","1007199"
"1886","Arthur Irwin","PHI","101","408","8.6%","9.6%",".233",".299",".282",".283","","88","2.4","1006276"
"1883","Fred Corey","PHA","71","310","3.9%","",".258",".287",".336",".283","","96","0.8","1002625"
"1904","Joe Cassidy","WAS","152","616","2.4%","",".241",".265",".332",".283","","88","0.6","1002053"
"2017","Carlos Beltran","HOU","129","509","6.5%","20.0%",".231",".283",".383",".283","","76","-1.1","589"
"1909","Jimmy Austin","NYH","136","500","6.4%","",".231",".285",".286",".283","","75","1.0","1000372"
"1877","Jim Devlin","LOU","61","275","2.5%","9.8%",".269",".287",".325",".283","","86","0.4","1003249"
"1998","Brian Hunter","DET","142","636","5.7%","14.8%",".254",".298",".333",".283","","64","1.4","562"
"1980","Bob Boone","PHI","141","535","9.0%","7.7%",".229",".299",".338",".283","","73","0.8","1001183"
"1967","Larry Brown","CLE","152","562","9.4%","11.0%",".227",".308",".311",".283","","86","1.7","1001536"
"1907","Terry Turner","CLE","140","561","3.4%","",".242",".272",".307",".283","","83","3.9","1013233"
"1884","Henry Porter","MIL","11","40","0.0%","",".275",".275",".350",".283","","-100","-1.5","1010452"
"2018","Kole Calhoun","LAA","137","552","9.6%","24.1%",".208",".283",".369",".283","","77","-0.1","11200"
"1926","Jimmy Cooney","CHC","141","559","4.1%","1.8%",".251",".288",".312",".283","","60","2.2","1002587"
"1919","Howie Shanks","WAS","135","551","4.5%","8.7%",".248",".289",".299",".283","","68","-1.5","1011791"
"1905","Freddy Parent","BOS","153","690","6.8%","",".234",".296",".277",".283","","82","1.9","1009992"
"1985","Bob Boone","CAL","150","520","7.1%","6.7%",".248",".306",".317",".283","","74","2.2","1001183"
"1875","John Clapp","PHN","60","299","2.3%","0.3%",".264",".281",".339",".283","","104","1.8","1002259"
"1998","Alex Gonzalez","TOR","158","618","4.5%","19.6%",".239",".281",".361",".283","","64","0.3","281"
"2016","Jose Iglesias","DET","137","513","5.5%","9.7%",".255",".306",".336",".283","","74","2.2","10231"
"2003","Endy Chavez","MON","141","526","5.9%","11.2%",".251",".294",".354",".283","","63","-0.2","768"
"1872","Bob Ferguson","BKA","37","168","1.8%","0.0%",".279",".292",".309",".283","","78","2.0","1003985"
"1941","Bobby Bragan","PHI","154","597","4.4%","4.9%",".251",".285",".318",".283","","68","-0.7","1001331"
"1996","Jody Reed","SDP","146","568","10.4%","9.3%",".244",".325",".297",".283","","72","-0.8","1010771"
"1881","Buck Ewing","TRO","67","279","2.5%","2.9%",".250",".269",".353",".283","","89","1.5","1003881"
"1989","Gerald Young","HOU","146","620","11.9%","9.7%",".233",".326",".276",".283","","83","1.7","1014376"
"1873","John Glenn","WSN","39","188","1.6%","0.0%",".265",".277",".346",".283","","86","-0.1","1004781"
"1898","Jim Connor","CHI","138","563","7.5%","",".226",".289",".279",".283","","68","0.1","1002528"
"1983","Rich Dauer","BAL","140","520","9.0%","5.6%",".235",".306",".309",".283","","74","0.2","1003006"
"1877","Andy Leonard","BSN","58","277","1.8%","1.8%",".287",".300",".305",".283","","95","0.7","1007530"
"2015","Jimmy Rollins","LAD","144","563","7.8%","15.3%",".224",".285",".358",".283","","80","0.4","971"
"1980","Omar Moreno","PIT","162","745","7.7%","13.6%",".249",".306",".325",".283","","70","1.5","1009167"
"1944","Johnny Rucker","NYG","144","622","3.9%","7.7%",".244",".275",".325",".283","","64","-2.0","1011280"
"1872","Charlie Gould","BSN","45","213","0.9%","1.4%",".256",".263",".374",".283","","90","0.6","1004901"
"1981","Mike Squires","CHW","92","334","6.6%","5.1%",".265",".312",".296",".283","","77","-0.4","1012371"
"1908","Tom Jones","SLB","155","617","4.9%","",".246",".290",".284",".283","","90","0.7","1006599"
"1875","Mike McGeary","PWS","68","311","0.3%","0.3%",".290",".293",".323",".283","","108","1.9","1008506"
"1985","Mariano Duncan","LAD","142","620","6.1%","18.2%",".244",".293",".340",".283","","80","1.2","1003554"
"1964","Julian Javier","STL","155","574","5.2%","14.3%",".241",".282",".363",".283","","71","-0.2","1006371"
"1917","Jack Barry","BOS","116","493","9.5%","5.5%",".214",".305",".253",".283","","80","1.4","1000616"
"1974","Mark Belanger","BAL","155","570","8.9%","12.1%",".225",".298",".300",".283","","79","3.8","1000786"
"1873","Harry Schafer","BSN","60","298","1.0%","0.3%",".268",".275",".349",".283","","86","-0.4","1011510"
"1965","Luis Aparicio","BAL","144","629","7.3%","8.9%",".225",".286",".339",".283","","81","3.3","1000278"
"1882","Pete Hotaling","BSN","84","394","4.1%","5.3%",".259",".289",".328",".283","","102","1.0","1006046"
"1963","Willie Davis","LAD","156","555","4.5%","11.0%",".245",".281",".365",".282","","89","2.3","1003088"
"1915","Gus Getz","BRO","130","498","1.6%","2.8%",".258",".275",".312",".282","","72","1.3","1004648"
