"Season","Name","Team","G","PA","BB%","K%","AVG","OBP","SLG","wOBA","xwOBA","wRC+","WAR","playerid"
"1902","Tommy Leach","PIT","135","576","7.8%","",".278",".341",".426",".363","","131","5.9","1007428"
"1999","Todd Zeile","TEX","156","656","8.5%","14.3%",".293",".354",".488",".363","","109","2.5","457"
"1947","Dom DiMaggio","BOS","136","599","12.4%","10.4%",".283",".376",".390",".363","","112","3.5","1003310"
"1955","Ray Boone","DET","135","560","8.9%","8.8%",".284",".346",".476",".363","","117","3.7","1001189"
"2013","Carlos Gomez","MIL","147","590","6.3%","24.7%",".284",".338",".506",".363","","128","6.7","4881"
"2002","Carlos Lee","CHW","140","576","13.0%","12.7%",".264",".359",".484",".363","","120","2.0","243"
"1998","Bobby Higginson","DET","157","686","9.2%","14.7%",".284",".355",".480",".363","","115","2.3","469"
"1979","Johnny Bench","CIN","130","538","12.5%","13.6%",".276",".364",".459",".363","","125","5.2","1000826"
"1947","Eddie Miller","CIN","151","602","8.1%","6.6%",".268",".333",".457",".363","","107","2.8","1008892"
"1891","John Carney","- - -","130","531","9.0%","4.9%",".283",".356",".394",".363","","104","2.5","1001974"
"2018","Nick Castellanos","DET","157","678","7.2%","22.3%",".298",".354",".500",".363","","129","2.9","11737"
"2006","Scott Hatteberg","CIN","141","539","13.7%","7.6%",".289",".389",".436",".363","","114","2.1","916"
"2002","Brad Wilkerson","MON","153","603","13.4%","26.7%",".266",".370",".469",".363","","118","1.8","804"
"1941","Cookie Lavagetto","BRO","132","523","15.3%","4.0%",".277",".388",".370",".363","","116","2.7","1007386"
"1892","Jack Crooks","STL","128","583","23.3%","8.9%",".213",".400",".294",".363","","114","1.9","1002797"
"1922","Ray Powell","BSN","142","619","9.5%","10.7%",".296",".369",".409",".363","","105","2.1","1010495"
"1978","Don Money","MIL","137","588","8.2%","11.9%",".293",".361",".440",".363","","129","4.4","1009052"
"1962","Al Smith","CHW","142","575","9.9%","10.4%",".292",".363",".462",".363","","122","2.8","1012090"
"1887","John Kerins","LOU","112","516","7.4%","",".294",".349",".443",".363","","110","3.1","1006862"
"1959","Charlie Maxwell","DET","145","611","13.3%","14.9%",".251",".357",".461",".363","","122","3.1","1008287"
"1965","Willie Horton","DET","143","572","8.4%","17.7%",".273",".340",".490",".363","","131","3.1","1006038"
"1945","Vince DiMaggio","PHI","127","497","8.7%","18.3%",".257",".321",".451",".363","","112","2.6","1003312"
"1884","Jack Rowe","BUF","93","423","5.4%","3.3%",".315",".352",".450",".363","","131","4.0","1011255"
"1983","Andre Thornton","CLE","141","605","14.4%","11.9%",".281",".383",".439",".363","","124","2.1","1013037"
"1911","Josh Devore","NYG","149","661","12.3%","10.4%",".280",".376",".365",".363","","112","3.0","1003254"
"1925","Charlie Grimm","CHC","141","567","6.7%","4.4%",".306",".354",".439",".363","","100","1.0","1005068"
"2012","Nick Swisher","NYY","148","624","12.3%","22.6%",".272",".364",".473",".363","","128","3.6","4599"
"2009","Paul Konerko","CHW","152","621","9.3%","14.3%",".277",".353",".489",".363","","115","1.8","242"
"1980","Hal McRae","KCR","124","532","5.5%","10.5%",".297",".342",".483",".363","","122","2.1","1008687"
"1970","George Scott","BOS","127","530","8.3%","17.9%",".296",".355",".467",".363","","119","2.0","1011682"
"1964","Lou Brock","- - -","155","695","5.8%","18.3%",".315",".358",".464",".363","","126","4.6","1001458"
"1986","Rob Deer","MIL","134","546","13.2%","32.8%",".232",".336",".494",".363","","122","1.5","1003137"
"1953","Bobby Thomson","NYG","154","656","6.6%","8.7%",".288",".338",".472",".363","","107","1.7","1013032"
"2009","Bobby Abreu","LAA","152","667","14.1%","16.9%",".293",".390",".435",".363","","120","2.7","945"
"1872","Mike McGeary","PHN","47","227","0.9%","0.4%",".360",".366",".418",".363","","124","1.9","1008506"
"1926","Homer Summa","CLE","154","652","7.2%","1.4%",".308",".368",".403",".363","","100","2.6","1012717"
"2003","Ivan Rodriguez","FLA","144","578","9.5%","15.9%",".297",".369",".474",".363","","122","4.5","1275"
"1926","Glenn Wright","PIT","119","493","3.9%","5.3%",".308",".335",".459",".363","","105","3.3","1014280"
"2016","Kyle Seager","SEA","158","676","10.2%","16.0%",".278",".359",".499",".363","","134","5.2","9785"
"1963","Roberto Clemente","PIT","152","642","4.8%","10.0%",".320",".356",".470",".363","","137","4.6","1002340"
"2004","Hank Blalock","TEX","159","713","10.5%","20.9%",".276",".355",".500",".363","","112","4.1","1419"
"2017","Logan Morrison","TBR","149","601","13.5%","24.8%",".246",".353",".516",".363","","131","3.2","9205"
"1964","Bill White","STL","160","693","7.5%","14.9%",".303",".355",".474",".363","","124","4.7","1013855"
"1993","Cecil Fielder","DET","154","672","13.4%","18.6%",".267",".368",".464",".363","","119","1.3","1004026"
"1923","George Grantham","CHC","152","665","10.7%","13.8%",".281",".360",".414",".363","","104","3.5","1004947"
"2014","Jose Altuve","HOU","158","707","5.1%","7.5%",".341",".377",".453",".363","","137","5.2","5417"
"1956","Al Smith","CLE","141","626","13.4%","11.5%",".274",".378",".433",".363","","114","2.1","1012090"
"1890","Harry Taylor","LOU","134","622","10.9%","",".306",".383",".344",".363","","120","4.8","1012873"
"1884","Fred Mann","COL","99","402","6.2%","",".276",".341",".464",".363","","147","3.1","1008062"
"2021","Jonathan India","CIN","150","631","11.3%","22.3%",".269",".376",".459",".363","","122","3.9","21523"
"1980","Lance Parrish","DET","144","592","5.2%","18.4%",".286",".325",".499",".363","","121","3.9","1010021"
"1960","Pete Runnels","BOS","143","613","11.6%","8.3%",".320",".401",".394",".363","","116","4.3","1011303"
"2021","Pete Alonso","NYM","152","637","9.4%","19.9%",".262",".344",".519",".363","","133","3.0","19251"
"1940","Ben Chapman","CLE","143","631","12.4%","7.1%",".286",".377",".403",".363","","112","3.0","1002141"
"1980","John Mayberry","TOR","149","588","13.1%","13.6%",".248",".349",".473",".363","","119","1.7","1008289"
"1932","Gee Walker","DET","127","501","2.6%","7.6%",".323",".345",".465",".363","","103","2.2","1013519"
"1973","Garry Maddox","SFG","144","622","3.9%","11.7%",".319",".350",".460",".363","","122","3.9","1007948"
"1999","Darryl Hamilton","- - -","146","568","10.0%","6.9%",".315",".386",".422",".363","","97","0.4","1005272"
"1887","Mike Tiernan","NYG","103","442","7.2%","7.0%",".287",".344",".452",".363","","117","1.7","1013062"
"1920","George Burns","NYG","154","714","10.6%","6.7%",".287",".365",".399",".363","","124","4.8","1001708"
"1915","Baldy Louden","BUF","141","557","11.5%","8.1%",".281",".372",".367",".363","","117","3.9","1007766"
"2008","Conor Jackson","ARI","144","612","9.6%","10.0%",".300",".376",".446",".363","","113","2.9","5997"
"1926","Earle Combs","NYY","145","670","7.0%","3.4%",".299",".352",".429",".363","","105","2.4","1002478"
"1973","Richie Hebner","PIT","144","576","9.7%","10.4%",".271",".346",".477",".363","","127","3.3","1005571"
"1932","Lloyd Waner","PIT","134","599","5.2%","1.8%",".333",".367",".430",".362","","115","3.5","1013596"
"1887","Ed Andrews","PHI","104","488","4.3%","4.3%",".325",".359",".422",".362","","112","1.9","1000248"
"1999","Steve Finley","ARI","156","663","9.5%","14.2%",".264",".336",".525",".362","","108","4.6","54"
"1980","Miguel Dilone","CLE","132","566","4.9%","8.0%",".341",".375",".432",".362","","123","2.9","1003309"
"1984","Dwayne Murphy","OAK","153","647","11.4%","17.2%",".256",".342",".472",".362","","130","4.2","1009359"
"1957","Rocky Colavito","CLE","134","544","13.1%","14.7%",".252",".348",".471",".362","","125","3.5","1002404"
"1872","Wes Fisler","PHN","47","247","1.6%","1.6%",".350",".360",".428",".362","","124","2.8","1004103"
"2007","Nick Swisher","OAK","150","659","15.2%","19.9%",".262",".381",".455",".362","","122","4.0","4599"
"1896","Tommy Tucker","BSN","122","526","5.7%","5.5%",".304",".363",".395",".362","","96","1.5","1013213"
"1984","Bob Brenly","SFG","145","567","8.5%","9.2%",".291",".352",".464",".362","","133","3.8","1001386"
"1991","Tony Phillips","DET","146","655","12.1%","14.5%",".284",".371",".438",".362","","124","4.8","1010300"
"2004","Jose Guillen","ANA","148","621","6.0%","14.8%",".294",".352",".497",".362","","122","2.7","57"
"2020","Kole Calhoun","ARI","54","228","12.3%","21.9%",".226",".338",".526",".362","","125","1.8","11200"
"1922","Jimmie Dykes","PHA","145","581","9.5%","16.9%",".275",".359",".421",".362","","102","2.4","1003617"
"1927","Sammy Hale","PHA","131","564","5.7%","5.7%",".313",".358",".423",".362","","99","2.5","1005225"
